sample,fastq_1,fastq_2,strandedness
AS4982,/backup/mjulia/CNAG_download/UNICAN_37/20221129/concatenated/AS4982_1.fastq.gz,/backup/mjulia/CNAG_download/UNICAN_37/20221129/concatenated/AS4982_2.fastq.gz,forward
AS4983,/backup/mjulia/CNAG_download/UNICAN_37/20221129/concatenated/AS4983_1.fastq.gz,/backup/mjulia/CNAG_download/UNICAN_37/20221129/concatenated/AS4983_2.fastq.gz,forward
AS4984,/backup/mjulia/CNAG_download/UNICAN_37/20221129/concatenated/AS4984_1.fastq.gz,/backup/mjulia/CNAG_download/UNICAN_37/20221129/concatenated/AS4984_2.fastq.gz,forward
AS4985,/backup/mjulia/CNAG_download/UNICAN_37/20221129/concatenated/AS4985_1.fastq.gz,/backup/mjulia/CNAG_download/UNICAN_37/20221129/concatenated/AS4985_2.fastq.gz,forward
AS4986,/backup/mjulia/CNAG_download/UNICAN_37/20221129/concatenated/AS4986_1.fastq.gz,/backup/mjulia/CNAG_download/UNICAN_37/20221129/concatenated/AS4986_2.fastq.gz,forward
AS4987,/backup/mjulia/CNAG_download/UNICAN_37/20221129/concatenated/AS4987_1.fastq.gz,/backup/mjulia/CNAG_download/UNICAN_37/20221129/concatenated/AS4987_2.fastq.gz,forward
AS4988,/backup/mjulia/CNAG_download/UNICAN_37/20221129/concatenated/AS4988_1.fastq.gz,/backup/mjulia/CNAG_download/UNICAN_37/20221129/concatenated/AS4988_2.fastq.gz,forward
AS4989,/backup/mjulia/CNAG_download/UNICAN_37/20221129/concatenated/AS4989_1.fastq.gz,/backup/mjulia/CNAG_download/UNICAN_37/20221129/concatenated/AS4989_2.fastq.gz,forward
AS4990,/backup/mjulia/CNAG_download/UNICAN_37/20221129/concatenated/AS4990_1.fastq.gz,/backup/mjulia/CNAG_download/UNICAN_37/20221129/concatenated/AS4990_2.fastq.gz,forward
AS4991,/backup/mjulia/CNAG_download/UNICAN_37/20221129/concatenated/AS4991_1.fastq.gz,/backup/mjulia/CNAG_download/UNICAN_37/20221129/concatenated/AS4991_2.fastq.gz,forward
