p_val	avg_log2FC	pct.1	pct.2	p_val_adj
COL1A2	0	5.2639464670366	0.92	0.046	0
COL14A1	0	4.91264148750348	0.89	0.067	0
COL3A1	0	5.25669702423762	0.825	0.03	0
NR2F1	0	4.85822065138182	0.826	0.041	0
LAMA2	0	5.81249102499228	0.842	0.057	0
PRRX1	0	4.79086451929533	0.8	0.024	0
DCN	0	4.39772453959755	0.896	0.122	0
IGFBP5	0	4.07478275866725	0.912	0.143	0
FXYD1	0	3.6999965633805	0.822	0.065	0
EPHA3	0	6.39043679013696	0.771	0.02	0
COL6A1	0	4.29934037319849	0.856	0.106	0
COL6A2	0	4.24155181026704	0.95	0.2	0
BGN	0	4.0974727592423	0.795	0.046	0
GPM6B	0	4.2397617415857	0.854	0.106	0
IGFBP6	0	4.1161194467359	0.845	0.104	0
MAP1B	0	3.91393544518806	0.865	0.127	0
COL1A1	0	5.52693601186524	0.774	0.042	0
RARRES2	0	3.5391453184509	0.884	0.155	0
MFGE8	0	3.84278283840373	0.858	0.13	0
CAMK2N1	0	3.88992595340438	0.812	0.094	0
TPM2	0	3.03737603851012	0.907	0.189	0
PLAC9	0	3.78479846116172	0.81	0.099	0
LUM	0	4.73805733391221	0.791	0.087	0
C1R	0	3.996508794493	0.842	0.141	0
COL6A3	0	5.50067010591072	0.727	0.027	0
C7	0	4.92062518816869	0.756	0.057	0
PCOLCE	0	4.43286209041507	0.744	0.048	0
CCDC80	0	4.25969814635986	0.771	0.077	0
SERPING1	0	3.19547406471087	0.89	0.197	0
CRISPLD2	0	3.72406739317304	0.896	0.206	0
SPARC	0	2.5277026542399	0.938	0.249	0
PDGFRB	0	5.76358061568229	0.709	0.022	0
SOX5	0	3.67012186643007	0.77	0.092	0
TIMP3	0	2.36026620203116	0.984	0.322	0
AKAP12	0	3.19158162749715	0.815	0.154	0
FN1	0	3.46985874791654	0.754	0.094	0
NR2F2-AS1	0	5.29739198576096	0.7	0.053	0
C1S	0	3.70620781443757	0.8	0.154	0
ARHGAP10	0	3.49314010076644	0.85	0.205	0
RERG	0	5.33186717547684	0.676	0.031	0
FXYD6	0	3.05090551609834	0.75	0.11	0
GPC6	0	5.23047437153052	0.697	0.059	0
SYNPO2	0	3.28403366964717	0.736	0.099	0
PRKG1	0	4.90260734287524	0.728	0.091	0
LHFPL6	0	2.78347314500877	0.844	0.211	0
CNTN4	0	5.71621344042295	0.667	0.037	0
MYL9	0	3.20903110305902	0.868	0.239	0
SPARCL1	0	1.54805539959072	0.988	0.368	0
F10	0	4.1167443673237	0.664	0.047	0
IGFBP4	0	1.81502925686852	0.903	0.297	0
SOD3	0	3.09984222048467	0.847	0.245	0
PGF	0	4.62939118078788	0.651	0.05	0
NR2F2	0	3.06719240356793	0.851	0.252	0
COL4A2	0	2.67338762024684	0.764	0.166	0
ISL1	0	5.60855649259429	0.61	0.015	0
PPP1R14A	0	3.51152077856271	0.657	0.065	0
UNC5C	0	6.15899595825057	0.617	0.026	0
NID1	0	4.4170839931611	0.663	0.074	0
AEBP1	0	4.38238326498335	0.636	0.047	0
RBPMS	0	2.69807628175863	0.825	0.237	0
TFPI	0	2.4252206069481	0.71	0.126	0
BMP5	0	4.97457169559284	0.603	0.02	0
COL5A2	0	5.40620166838084	0.617	0.037	0
RBP1	0	2.94473672299508	0.669	0.098	0
PTN	0	4.23578431818341	0.68	0.11	0
CAVIN3	0	2.94019637639606	0.669	0.099	0
SCN7A	0	5.65975665609441	0.592	0.022	0
ADAMTS9-AS2	0	2.56478888593918	0.841	0.271	0
IGFBP2	0	2.71001722394649	0.909	0.341	0
MYLK	0	2.86855508135936	0.68	0.112	0
COL18A1	0	3.29961368556111	0.723	0.155	0
FILIP1L	0	2.98465411521806	0.741	0.174	0
DLC1	0	3.29171261827718	0.703	0.136	0
IGFBP7	0	2.54647741857639	0.99	0.424	0
SLIT2	0	3.83394434636077	0.69	0.124	0
SEPTIN11	0	2.77685945878804	0.765	0.201	0
ZEB2	0	1.60767355919127	0.73	0.166	0
TCF21	0	4.79667710225006	0.592	0.029	0
COX7A1	0	2.50434411665053	0.689	0.126	0
RORB	0	4.86949506081141	0.602	0.04	0
DKK3	0	3.07434347953364	0.671	0.11	0
