p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
ECRG4	2.6105915707962e-93	2.65658760718538	0.96	0.423	6.90449258644179e-89	0	ECRG4
CCL21	2.5807990560911e-85	3.22214880058933	0.621	0.106	6.82569734354975e-81	0	CCL21
ADH1B	5.45681708555345e-64	2.86964493918082	0.508	0.093	1.44321898278718e-59	0	ADH1B
TM4SF1	5.65649100181146e-61	2.93359325067988	0.617	0.168	1.4960287401591e-56	0	TM4SF1
ACTA2	5.06659543667488e-60	1.71172707580323	0.944	0.578	1.34001316109177e-55	0	ACTA2
TAGLN	2.29864749257055e-59	1.48553671888987	0.976	0.648	6.07946288835058e-55	0	TAGLN
RRAD	8.13716182522811e-58	2.05208601833383	0.81	0.327	2.15211655953633e-53	0	RRAD
STEAP4	2.51914340949992e-57	1.59630907452859	0.915	0.418	6.66263048944539e-53	0	STEAP4
FHL2	3.07776223353522e-57	2.03105003220999	0.794	0.347	8.14006555525396e-53	0	FHL2
MYL9	4.12282491919778e-57	1.19572223185489	1	0.844	1.09040473462943e-52	0	MYL9
PTN	7.30083258999199e-57	-3.8029779614208	0.27	0.757	1.93092420340108e-52	0	PTN
MIR99AHG	7.638376179102e-54	-2.38736287978465	0.597	0.875	2.0201977318489e-49	0	MIR99AHG
APOD	1.23393826962769e-52	-7.01769618212885	0.157	0.66	3.2635199355113e-48	0	APOD
SPOCK3	1.69917070799704e-51	-5.67415888068247	0.028	0.579	4.49396668851057e-47	0	SPOCK3
CCL19	4.14771816874468e-51	3.35239159688506	0.585	0.175	1.09698850126959e-46	0	CCL19
LSAMP	5.03644307100939e-51	-5.4248310702171	0.056	0.595	1.33203846342056e-46	0	LSAMP
CNR1	5.97013428553602e-51	2.58484309689283	0.435	0.082	1.57898111583857e-46	0	CNR1
DEPP1	4.38386807584428e-50	3.11492165729724	0.496	0.118	1.15944542869929e-45	0	DEPP1
PAGE4	7.85654592268886e-50	-5.58770132998853	0.081	0.602	2.07789926563275e-45	0	PAGE4
FBLN1	1.57401912408482e-47	-4.72902823803975	0.278	0.684	4.16296577937953e-43	0	FBLN1
IFITM2	2.16959554880813e-47	1.02905458639401	0.988	0.894	5.73814630748774e-43	0	IFITM2
ATRNL1	2.23774366491831e-47	-7.36916763833381	0.008	0.533	5.91838444497594e-43	0	ATRNL1
IGF1	6.93760181081306e-46	-4.39885746268957	0.129	0.611	1.83485692692384e-41	0	IGF1
FHL5	3.64663979144195e-45	1.71262911284068	0.625	0.205	9.64463292040567e-41	0	FHL5
PCDH9	7.10951438627649e-45	-3.82814650398849	0.101	0.603	1.88032436488241e-40	0	PCDH9
B2M	7.3557162253915e-45	0.707069079363205	1	0.992	1.94543982729154e-40	0	B2M
FILIP1L	1.24537709832984e-44	1.26120762136254	0.948	0.703	3.29377334966276e-40	0	FILIP1L
LGI4	1.95572319325335e-44	1.73292744583029	0.734	0.295	5.17249670151647e-40	0	LGI4
TINAGL1	4.29786666270072e-44	1.41933544720194	0.794	0.331	1.13669977495109e-39	0	TINAGL1
ADD3	5.90474735476448e-44	-2.89782258684353	0.173	0.654	1.56168758038811e-39	0	ADD3
RORA	8.01430581231363e-44	-2.13287783410017	0.573	0.869	2.11962360124071e-39	0	RORA
MEIS2	1.34991716616683e-43	-1.9365563511036	0.472	0.832	3.57026092107804e-39	0	MEIS2
PDGFRA	5.26196796240307e-43	-6.7985619736281	0.008	0.499	1.39168528669636e-38	0	PDGFRA
DACH1	1.34809708507215e-42	-2.72731692353255	0.202	0.685	3.56544717059882e-38	0	DACH1
GUCY1A1	1.26237777632616e-41	1.30917667289548	0.758	0.303	3.33873674282744e-37	0	GUCY1A1
SCN7A	2.67993567178518e-41	-2.56912483474265	0.206	0.665	7.08789386473746e-37	0	SCN7A
CAV1	3.14017516538188e-41	1.5392719428746	0.819	0.466	8.30513527740199e-37	0	CAV1
HLA-B	4.89168074672018e-41	0.905891562767612	0.996	0.948	1.29375172389255e-36	0	HLA-B
PLPP3	7.36812323879331e-41	-1.72968104749766	0.488	0.835	1.94872123419606e-36	0	PLPP3
MMP2	8.69027703836732e-41	-3.63217260691077	0.117	0.576	2.29840447110739e-36	0	MMP2
PLXDC2	2.85780139178644e-40	-3.90759573753488	0.081	0.552	7.55831312099678e-36	0	PLXDC2
TPM2	6.07518248858928e-40	0.907626290298307	0.98	0.894	1.60676426458209e-35	0	TPM2
DNAJC1	1.12658328095325e-39	-2.28385381611524	0.319	0.724	2.97958746146517e-35	0	DNAJC1
ARHGAP15	1.18819623042042e-39	1.61106137605102	0.641	0.244	3.14254139021593e-35	0	ARHGAP15
HIGD1B	1.96791410728329e-39	0.996351709739896	0.879	0.376	5.20473923094285e-35	0	HIGD1B
TRPS1	2.15175105420453e-39	-2.36800619003278	0.31	0.726	5.69095118816014e-35	0	TRPS1
SFRP2	2.79534751370799e-39	-7.9075104791631	0.008	0.467	7.39313510425489e-35	0	SFRP2
THSD7A	3.44415700052982e-39	-3.77237060941326	0.085	0.552	9.10910643500127e-35	0	THSD7A
PPP1R14A	1.10654960550699e-38	1.44427210759831	0.883	0.615	2.92660239664489e-34	0	PPP1R14A
CEBPD	1.14648260991809e-38	1.07536678160082	0.988	0.903	3.03221720671137e-34	0	CEBPD
CTSC	1.42487819493143e-38	1.48927271086482	0.798	0.519	3.76851784995463e-34	0	CTSC
GPX3	1.5742154073231e-38	1.32427491646304	0.802	0.405	4.16348490928814e-34	0	GPX3
MGST1	2.06285517777906e-38	-3.34414818631264	0.113	0.56	5.45583937419007e-34	0	MGST1
FTH1	2.24333801522874e-38	0.613568936360775	1	0.981	5.93318038267697e-34	0	FTH1
ISYNA1	3.11446727476663e-38	1.5440481934545	0.706	0.329	8.23714304830277e-34	0	ISYNA1
RASL11A	5.297795342674e-38	1.51178452386764	0.794	0.463	1.40116091223042e-33	0	RASL11A
FBLN2	6.09794344385701e-38	-6.83524676450762	0.008	0.457	1.6127840820313e-33	0	FBLN2
SPOCK1	1.40735048132185e-36	-3.91604169413003	0.065	0.509	3.72216055300003e-32	0	SPOCK1
SPARCL1	1.58302642774514e-36	-0.882208080778291	0.988	0.988	4.18678829610034e-32	0	SPARCL1
NEXN	2.27254017094664e-36	1.28736012284134	0.847	0.536	6.01041424411967e-32	0	NEXN
CNTN1	2.82735052191842e-36	-5.26628461445231	0.016	0.456	7.47777666036983e-32	0	CNTN1
TMSB4X	2.84420818796348e-36	0.632872043891733	1	0.982	7.52236181552582e-32	0	TMSB4X
ALDH1A3	3.19793726641116e-36	-4.00353315882721	0.052	0.493	8.45790448220425e-32	0	ALDH1A3
CRIP1	3.49955916689425e-36	0.820667662257812	0.802	0.349	9.25563408460192e-32	0	CRIP1
AC092691.1	1.92476193850602e-35	-4.80972010520021	0.032	0.466	5.09061037496073e-31	0	AC092691.1
HELLPAR	3.38663833268512e-35	-5.38456966289319	0.016	0.445	8.95698106228561e-31	0	HELLPAR
LINC02147	7.07412792651816e-35	-6.6420713114498	0.02	0.441	1.87096535400552e-30	0	LINC02147
PDE3B	1.46427045978459e-34	-3.82602170765364	0.032	0.464	3.8727025120383e-30	0	PDE3B
CCDC102B	1.53598819355494e-34	0.834271759890002	0.859	0.423	4.0623815743141e-30	0	CCDC102B
LRP1B	2.23094242948971e-34	-6.28300334190858	0.008	0.428	5.90039653751438e-30	0	LRP1B
BMP5	2.40665839949639e-34	-2.14727958750725	0.25	0.669	6.36513013498805e-30	0	BMP5
PRKCA	2.95370992427437e-34	-2.1724443421622	0.512	0.792	7.81197200772085e-30	0	PRKCA
EPAS1	3.5328424911906e-34	0.855576698541835	0.964	0.687	9.3436618207009e-30	0	EPAS1
SLIT3	3.93095086561556e-34	0.990766428940065	0.81	0.412	1.039657884938e-29	0	SLIT3
SYT1	4.13498963473381e-34	-4.24055824275012	0.02	0.445	1.0936220585944e-29	0	SYT1
CALD1	5.11744626908323e-34	0.65269595107331	0.996	0.994	1.35346218924713e-29	0	CALD1
DBNDD2	9.7175626039731e-34	1.21480307366806	0.774	0.377	2.5701009574988e-29	0	DBNDD2
THY1	1.96049005519901e-33	1.49600970736939	0.794	0.523	5.18510409799035e-29	0	THY1
S100A4	2.98054884110158e-33	1.19622197858482	0.956	0.866	7.88295557494547e-29	0	S100A4
NELL2	3.5467724209382e-33	-5.77175027990243	0.008	0.417	9.38050369889736e-29	0	NELL2
PTGDS	8.22104730105232e-33	-4.61019984881001	0.246	0.601	2.17430259018232e-28	0	PTGDS
GJA4	8.3780109861894e-33	1.16075380353808	0.75	0.323	2.21581634562737e-28	0	GJA4
EGFL6	1.40645722882983e-32	3.22998703645274	0.254	0.041	3.71979807880913e-28	0	EGFL6
PLCL1	1.41188871436912e-32	-2.81042613603001	0.21	0.609	3.73416327176345e-28	0	PLCL1
ADGRF5	1.41765176032774e-32	1.36686021870519	0.621	0.236	3.74940537571481e-28	0	ADGRF5
TMEM176A	2.07733239797494e-32	2.23613167185925	0.476	0.173	5.49412872616412e-28	0	TMEM176A
HSD11B1	2.09713112706782e-32	-4.16180658788316	0.081	0.478	5.54649240486896e-28	0	HSD11B1
EPHA7	2.42542063840397e-32	-3.33368348868082	0.044	0.463	6.41475250445083e-28	0	EPHA7
CACNA1D	4.63227963988985e-32	-3.8025818498651	0.048	0.46	1.22514531915807e-27	0	CACNA1D
SEMA3E	7.50911463867974e-32	-5.95434635572936	0.004	0.4	1.98601063963802e-27	0	SEMA3E
ZBTB20	7.5929136974177e-32	-1.06970267351714	0.895	0.976	2.00817381469303e-27	0	ZBTB20
C11orf96	1.32227619379084e-31	1.0008014421809	0.903	0.586	3.49715607733801e-27	0	C11orf96
EFEMP1	2.15443796921222e-31	-4.59217612396626	0.024	0.421	5.69805754097248e-27	0	EFEMP1
GUCY1B1	5.85768618862596e-31	1.32829018573468	0.669	0.307	1.54924084316779e-26	0	GUCY1B1
